FID,OBJECTID,AWNING,CROSS_STRE,ON_STREET,Lat,Lon,Type,Name,Address
0,12,NO,Harbor Ave SW,Water Taxi Route,47.58937159,-122.3794356, , , 
1,16,NO,31st Ave W,W McGraw St,47.63962151,-122.397427, , , 
2,24,NO,S Walker St,SODO Busway AcRd,47.58468117,-122.3274189, , , 
3,25,NO,S Spokane St,SODO Busway AcRd,47.57225922,-122.3273618, , , 
4,29,NO,Convention Place AcRd,Convention Place AcRd,47.61449126,-122.3322033, , , 
5,31,NO,Spokane Ln,Memorial Way,47.65824676,-122.3095728, , , 
6,33,NO,4th Ave,Wall St,47.6164506,-122.3465929, , , 
7,34,NO,E Thomas St,Eastlake Ave E,47.62081579,-122.3290259, , , 
8,35,NO,5th Ave,Virginia St,47.61363046,-122.3391391, , , 
9,36,NO,S Atlantic St,6th Ave S,47.58994209,-122.3258535, , , 
10,37,NO,S Forest St,4th Ave S,47.57796717,-122.3289412, , , 
11,40,NO,SW 106th St,26th Ave SW,47.5083452,-122.3656986, , , 
12,41,NO,SW 114th St,26th Ave SW,47.50111353,-122.3658687, , , 
13,56,NO,Harbor Ave SW,Water Taxi Route,47.58949597,-122.3795212, , , 
14,92,NO,NE 95th St,Roosevelt Way NE,47.69738921,-122.3176693, , , 
15,93,NO,6th Ave NE,NE 145th St,47.73396714,-122.3222226, , , 
16,122,NO,3rd Ave NE,NE 100th St,47.70126429,-122.3249875, , , 
17,123,NO,Martin L King Jr Way S,S Henderson St,47.52337413,-122.2783806, , , 
18,126,NO,26th Ave S,Center Park AcRd,47.58432552,-122.2989248, , , 
19,129,NO,SW Oregon St,35th Ave SW,47.5624443,-122.3762858, , , 
20,130,NO,Sand Point Way NE,NE 70th St,47.67929192,-122.2637262, , , 
21,140,NO,Transit Tunnel AcRd,Capitol Hill Sta AcRd,47.61955314,-122.3203715, , , 
22,141,NO,Pedestrian Tunnel Walk,University of WA Sta AcRd,47.64969745,-122.3035005, , , 
23,142,NO,Transit Tunnel AcRd,University of WA Sta AcRd,47.64969566,-122.3038692, , , 
24,143,NO,Pedestrian Walk,Capitol Hill Sta AcRd,47.61962041,-122.3200222, , , 
25,144,NO,Unnamed,ST Light Rail,47.61350865,-122.3316688, , , 
26,160,NO,S Lander St,SODO Busway AcRd,47.58187141,-122.3274082, , , 
27,161,NO,S Lander St,ST Light Rail,47.58058564,-122.3272453, , , 
28,162,NO,S Lander St,SODO Busway AcRd,47.58022924,-122.327402, , , 
29,163,NO,S Spokane St,SODO Busway AcRd,47.57179202,-122.3275585, , , 
30,164,NO,Ryerson Base AcRd,Ryerson Base AcRd,47.59009044,-122.327726, , , 
31,165,NO,Beacon Ave S,ST Light Rail,47.57967351,-122.3113782, , , 
32,166,NO,3rd Ave S,S Lander St,47.5798732,-122.3302757, , , 
33,168,NO,2nd Ave NW,NW 87th St,47.69236479,-122.3589007, , , 
34,173,NO,Beacon Ave S,ST Light Rail,47.57911777,-122.3112657, , , 
35,174,NO,S Lander St,ST Light Rail,47.57993962,-122.3275051, , , 
36,175,NO,S Royal Brougham Way,ST Light Rail,47.5918034,-122.3273372, , , 
37,176,NO,5th Ave,Lenora St,47.61421736,-122.3406779, , , 
38,184,NO,S Royal Brougham Way,SODO Busway AcRd,47.59191995,-122.3274609, , , 
39,185,NO,S Massachusetts St,SODO Busway AcRd,47.58819733,-122.3273802, , , 
40,186,NO,S Royal Brougham Way,SODO Busway AcRd,47.59200729,-122.327263, , , 
41,187,NO,S Holgate St,SODO Busway AcRd,47.58551733,-122.3276247, , , 
42,188,NO,S Holgate St,SODO Busway AcRd,47.58596442,-122.3274238, , , 
43,189,NO,S Holgate St,SODO Busway AcRd,47.58659373,-122.3274153, , , 
44,190,NO,S Lander St,SODO Busway AcRd,47.57918706,-122.3276033, , , 
45,191,NO,SODO Busway AcRd,S Lander St,47.57987236,-122.3283465, , , 
46,192,NO,S Royal Brougham Way,ST Light Rail,47.59227289,-122.3269753, , , 
47,193,NO,S Lander St,SODO Busway AcRd,47.5838386,-122.3274157, , , 
48,203,NO,Spokane Ln,Memorial Way,47.65846604,-122.309566, , , 
49,204,NO,Spokane Ln,Memorial Way,47.65785389,-122.309585, , , 
50,205,NO,Spokane Ln,Memorial Way,47.65763461,-122.3095918, , , 
51,206,NO,NE Pacific St,University Way NE,47.65394628,-122.3132009, , , 
52,208,NO,NE 125th St,5th Ave NE,47.71954908,-122.3236777, , , 
53,212,NO,7th Ave,Bell St,47.61742515,-122.3413859, , , 
54,213,NO,Western Ave,Eagle St,47.61744671,-122.3542694, , , 
55,214,NO,Western Ave,Eagle St,47.61761574,-122.3537822, , , 
56,215,NO,Eagle St,1st Ave,47.61746259,-122.3535781, , , 
57,216,NO,1st Ave,Warren Pl,47.618341,-122.3540334, , , 
58,217,NO,6th Ave,Bell St,47.61634778,-122.3425107, , , 
59,218,NO,6th Ave,Bell St,47.61679347,-122.3422038, , , 
60,219,NO,E Nelson Pl,Eastlake Ave E,47.63028601,-122.3280627, , , 
61,220,NO,3rd Ave,Wall St,47.61571857,-122.3472687, , , 
62,221,NO,3rd Ave,Wall St,47.61579798,-122.3474352, , , 
63,222,NO,Aloha St,Eastlake Ave E,47.62695454,-122.329302, , , 
64,223,NO,Ward St,Eastlake Ave E,47.62791061,-122.3293249, , , 
65,231,NO,NE 47th St,12th Ave NE,47.66270068,-122.3151654, , , 
66,232,NO,NE 45th St,12th Ave NE,47.66206739,-122.315292, , , 
67,233,NO,8th Ave,Blanchard St,47.61752771,-122.3387161, , , 
68,234,NO,4th Ave,Lenora St,47.61371014,-122.3416022, , , 
69,235,NO,Westlake Ave,8th Ave,47.61684589,-122.3383364, , , 
70,236,NO,NE 47th St,7th Ave NE,47.6625303,-122.3208118, , , 
71,237,NO,17th Ave NE,NE 143rd St,47.73217314,-122.3112286, , , 
72,238,NO,Transit Tunnel AcRd,Transit Tunnel AcRd,47.59735991,-122.3278011, , , 
73,239,NO,Transit Tunnel AcRd,Transit Tunnel AcRd,47.59741777,-122.3278012, , , 
74,240,NO,Convention Place AcRd,Convention Place AcRd,47.61470982,-122.3316974, , , 
75,241,NO,Convention Place AcRd,Convention Place AcRd,47.61463271,-122.3318759, , , 
76,245,NO,15th Ave SW,SW 98th St,47.51559031,-122.3538983, , , 
77,248,NO,Montlake Blvd NE,NE Pacific Pl,47.65086872,-122.3045719, , , 
78,249,NO,Spokane Ln,Memorial Way,47.65931503,-122.3095413, , , 
79,250,NO,Spokane Ln,Memorial Way,47.65917135,-122.3095453, , , 
80,251,NO,Spokane Ln,Memorial Way,47.65893214,-122.309552, , , 
81,252,NO,6th Ave,Lenora St,47.61482335,-122.3398925, , , 
82,253,NO,Westlake Ave,Virginia St,47.61466592,-122.3378023, , , 
83,254,NO,3rd Ave,Virginia St,47.61230601,-122.3408548, , , 
84,255,NO,4th Ave,Virginia St,47.61297183,-122.3399935, , , 
85,256,NO,S Royal Brougham Way,Atlantic Base AcRd,47.5920998,-122.3247739, , , 
86,257,NO,S Royal Brougham Way,6th Ave S,47.59231899,-122.3258523, , , 
87,281,NO,S Royal Brougham Way,Atlantic Base AcRd,47.5906921,-122.3248383, , , 
88,282,NO,Yesler Way,5th Ave S,47.6010668,-122.3277452, , , 
89,283,NO,S Washington St,5th Ave S,47.60046493,-122.3277479, , , 
90,284,NO,3rd Ave S,S Washington St,47.60093967,-122.3301392, , , 
91,285,NO,2nd Ave S,S Main St,47.5999635,-122.3313704, , , 
92,286,NO,S Lander St,4th Ave S,47.57909757,-122.3289407, , , 
93,287,NO,S Forest St,4th Ave S,47.57664571,-122.3289435, , , 
94,288,NO,7th Ave,Bell St,47.61707524,-122.3415695, , , 
95,289,NO,8th Ave,Bell St,47.61783986,-122.3408494, , , 
96,290,NO,15th Ave NW,NW 65th St,47.67605306,-122.3755369, , , 
97,291,NO,Division Ave NW,NW 65th St,47.67604693,-122.3664722, , , 
98,292,NO,E Union St,Martin L King Jr Way,47.61261623,-122.2960893, , , 
99,293,NO,NE 147th St,25th Ave NE,47.73528104,-122.3020522, , , 
100,302,NO,6th Ave,Bell St,47.61683374,-122.3418822, , , 
101,303,NO,2nd Ave,Blanchard St,47.61312502,-122.3443858, , , 
102,304,NO,Lenora St,2nd Ave,47.61249885,-122.3431958, , , 
103,305,NO,5th Ave,Lenora St,47.61428044,-122.3408655, , , 
104,306,NO,5th Ave,Lenora St,47.61459556,-122.340456, , , 
105,378,NO,SW 112th St,26th Ave SW,47.50254418,-122.3658472, , , 
106,379,NO,SW 110th St,26th Ave SW,47.5047245,-122.3658641, , , 
107,380,NO,SW 106th St,26th Ave SW,47.50791561,-122.3658984, , , 
108,381,NO,SW 104th St,26th Ave SW,47.51032494,-122.3659245, , , 
109,382,NO,SW 100th St,26th Ave SW,47.51352594,-122.3659577, , , 
110,383,NO,SW Roxbury St,26th Ave SW,47.51701149,-122.365994, , , 
111,385,NO,S Lucile St,East Marginal Way S,47.55353572,-122.3370957, , , 
112,389,NO,S Hudson St,East Marginal Way S,47.55849449,-122.3394403, , , 
113,390,NO,S Alaska St,East Marginal Way S,47.55936629,-122.3394561, , , 
114,391,NO,Diagonal Ave S,East Marginal Way S,47.5618654,-122.3394592, , , 
115,392,NO,S Idaho St,East Marginal Way S,47.56427663,-122.3394516, , , 
116,409,NO,SW 100th St,26th Ave SW,47.51436179,-122.3657641, , , 
117,413,NO,SW 104th St,26th Ave SW,47.51044068,-122.3657234, , , 
118,414,NO,Seola Beach Dr SW,SW 106th St,47.50812719,-122.3705757, , , 
119,415,NO,35th Ave SW,SW 106th St,47.50811535,-122.3754532, , , 
120,416,NO,SW 110th St,26th Ave SW,47.50489355,-122.3656631, , , 
121,417,NO,SW 112th St,26th Ave SW,47.50306422,-122.3656442, , , 
122,418,NO,SW 114th St,26th Ave SW,47.50115567,-122.3656657, , , 
123,419,NO,SW 116th St,26th Ave SW,47.499491,-122.3656897, , , 
124,420,NO,SW 116th St,28th Ave SW,47.49921775,-122.3690849, , , 
125,421,NO,28th Ave SW,SW 114th St,47.50105326,-122.368294, , , 
126,552,NO,25th Ave NE,NE 145th St,47.73375118,-122.3014366, , , 
127,553,NO,NE 85th St,Roosevelt Way NE,47.69012967,-122.3176986, , , 
128,554,NO,23rd Pl NE,NE 145th St,47.73378303,-122.3043828, , , 
129,555,NO,NE 90th St,Roosevelt Way NE,47.69386608,-122.3176856, , , 
130,556,NO,NE 92nd St,Roosevelt Way NE,47.6954718,-122.3176783, , , 
131,557,NO,15th Ave NE,NE 145th St,47.73386291,-122.3114354, , , 
132,558,NO,12th Ave NE,NE 145th St,47.73390438,-122.3155712, , , 
133,559,NO,8th Ave NE,NE 145th St,47.73409602,-122.3213519, , , 
134,560,NO,NE 95th St,Roosevelt Way NE,47.69780435,-122.3174698, , , 
135,561,NO,11th Ave NE,NE 145th St,47.73405215,-122.316702, , , 
136,562,NO,NE 92nd St,Roosevelt Way NE,47.69596482,-122.3174729, , , 
137,563,NO,NE 90th St,Roosevelt Way NE,47.69417044,-122.3174812, , , 
138,564,NO,15th Ave NE,NE 145th St,47.73401852,-122.3131418, , , 
139,565,NO,NE 85th St,Roosevelt Way NE,47.69062367,-122.3174983, , , 
140,566,NO,23rd Pl NE,NE 145th St,47.73392964,-122.3052207, , , 
141,567,NO,NE 102nd St,Roosevelt Way NE,47.7019146,-122.3177962, , , 
142,568,NO,NE 105th St,Roosevelt Way NE,47.7046929,-122.3178798, , , 
143,569,NO,NE 108th St,Roosevelt Way NE,47.70741147,-122.3179226, , , 
144,570,NO,Roosevelt Way NE,NE Northgate Way,47.70862705,-122.3183562, , , 
145,571,NO,NE 108th St,Roosevelt Way NE,47.70763486,-122.3177227, , , 
146,572,NO,NE 105th St,Roosevelt Way NE,47.70510703,-122.3176862, , , 
147,573,NO,NE 103rd St,Roosevelt Way NE,47.70326404,-122.3176335, , , 
148,574,NO,NE 100th St,Roosevelt Way NE,47.70142039,-122.3175782, , , 
149,602,NO,20th Ave NE,NE 75th St,47.68297285,-122.3060248, , , 
150,603,NO,30th Ave NE,NE 145th St,47.73370547,-122.2957423, , , 
151,604,NO,17th Ave NE,NE 75th St,47.68297242,-122.3098964, , , 
152,605,NO,27th Ave NE,NE 145th St,47.7337309,-122.2989064, , , 
153,661,NO,NE 80th St,Roosevelt Way NE,47.68693288,-122.3174399, , , 
154,662,NO,25th Ave NE,NE 145th St,47.73389713,-122.3023622, , , 
155,663,NO,18th Ave NE,NE 75th St,47.6831095,-122.3088742, , , 
156,664,NO,NE 147th St,25th Ave NE,47.73524152,-122.3018483, , , 
157,665,NO,27th Ave NE,NE 145th St,47.73387343,-122.2995852, , , 
158,666,NO,30th Ave NE,NE 145th St,47.73385198,-122.2969133, , , 
159,667,NO,Lake City Way NE,NE 145th St,47.7338239,-122.2934351, , , 
160,746,NO,25th Ave NE,NE 150th St,47.73737999,-122.3026119, , , 
161,751,NO,NE 148th St,5th Ave NE,47.73618632,-122.3236361, , , 
162,820,NO,NE 125th St,Lake City Way NE,47.7189549,-122.2955156, , , 
163,837,NO,NE 145th St,I-5 Ramp,47.73246355,-122.3249739, , , 
164,843,NO,Chelan Ln,Stevens Way,47.65942891,-122.3068057, , , 
165,844,NO,Rainier Vis,Stevens Way,47.65232993,-122.3064055, , , 
166,845,NO,Aurora Ave N,N 145th St,47.73419145,-122.3455928, , , 
167,846,NO,Interlake Ave N,N 145th St,47.73405736,-122.3410846, , , 
168,861,NO,NE 111th St,Roosevelt Way NE,47.70910494,-122.3177442, , , 
169,862,NO,Roosevelt Way NE,NE Northgate Way,47.70848414,-122.3174117, , , 
170,863,YES,5th Ave NE,NE Northgate Way,47.7085166,-122.3227132, , , 
171,890,NO,NE 115th St,Pinehurst Way NE,47.71234744,-122.3148277, , , 
172,903,NO,NE 152nd St,5th Ave NE,47.73905568,-122.3235147, , , 
173,904,NO,NE 148th St,5th Ave NE,47.73671671,-122.323445, , , 
174,905,NO,NE 140th St,1st Ave NE,47.73099216,-122.3287586, , , 
175,906,NO,NE 152nd St,5th Ave NE,47.73872491,-122.3237078, , , 
176,907,NO,NE 155th St,5th Ave NE,47.74105995,-122.3237809, , , 
177,4034,NO,S Michigan St,East Marginal Way S,47.54512297,-122.3313738, , , 
178,4061,NO,4th Ave SW,SW 102nd St,47.51212981,-122.3400005, , , 
179,4062,NO,SW 104th St,4th Ave SW,47.51020511,-122.3391498, , , 
180,4128,NO,SW 104th St,4th Ave SW,47.50998181,-122.3393449, , , 
181,4129,NO,4th Ave S,East Marginal Way S,47.54394881,-122.3297009, , , 
182,4196,NO,S Hudson St,East Marginal Way S,47.55768131,-122.3390418, , , 
183,4197,NO,W Blaine St,Thorndyke Ave W,47.63487237,-122.3909971, , , 
184,4198,NO,Greenwood Ave N,Holman Rd N,47.70461135,-122.3561884, , , 
185,4199,NO,9th Ave NW,Holman Rd NW,47.69828317,-122.3689968, , , 
186,4200,NO,Stone Ave N,N Northgate Way,47.70511033,-122.3418458, , , 
187,4226,NO,SW 102nd St,4th Ave SW,47.51170872,-122.3395298, , , 
188,4227,NO,Lanham Pl SW,SW Morgan St,47.54472857,-122.3732609, , , 
189,4228,NO,SW Henderson St,25th Ave SW,47.5226014,-122.3646247, , , 
190,4229,NO,34th Ave SW,SW Thistle St,47.52821037,-122.3749084, , , 
191,4230,NO,41st Ave SW,SW Ida St,47.53428693,-122.3847985, , , 
192,4231,NO,46th Ave SW,Glenn Way SW,47.56445067,-122.3907033, , , 
193,4232,NO,SW Charlestown St,55th Ave SW,47.57001615,-122.4029159, , , 
194,4233,NO,SW Hanford St,49th Ave SW,47.5758986,-122.3941667, , , 
195,4234,NO,SW Dakota St,55th Ave SW,47.56693632,-122.4027044, , , 
196,4235,NO,SW Mills St,California Ave SW,47.54160491,-122.3871345, , , 
197,4236,NO,SW Kenyon St,41st Ave SW,47.53242879,-122.3845535, , , 
198,4237,NO,31st Ave SW,SW Thistle St,47.52834644,-122.3724289, , , 
199,4238,NO,SW 107th St,16th Ave SW,47.50672019,-122.3551956, , , 
200,4239,NO,SW 106th St,15th Ave SW,47.507878,-122.3538473, , , 
201,4240,NO,SW 106th St,15th Ave SW,47.50837563,-122.3538446, , , 
202,4241,NO,SW 104th St,15th Ave SW,47.50981616,-122.3538497, , , 
203,4242,NO,SW 100th St,15th Ave SW,47.51380342,-122.3539924, , , 
204,4243,NO,SW Roxbury St,15th Ave SW,47.51693593,-122.3541122, , , 
205,4244,NO,SW Cambridge St,8th Ave SW,47.51921324,-122.3455198, , , 
206,4261,NO,SW Cloverdale St,24th Ave SW,47.52665052,-122.3630511, , , 
207,4262,NO,25th Ave SW,SW Trenton St,47.52461044,-122.3641093, , , 
208,4263,NO,NE 140th St,15th Ave NE,47.73018531,-122.3125816, , , 
209,4272,NO,SW Henderson St,9th Ave SW,47.523078,-122.3468145, , , 
210,4273,NO,SW Trenton St,9th Ave SW,47.52439918,-122.3468212, , , 
211,4274,NO,SW Thistle St,9th Ave SW,47.5280494,-122.3468402, , , 
212,4275,NO,SW Elmgrove St,9th Ave SW,47.52988579,-122.3468516, , , 
213,4276,NO,SW Kenyon St,9th Ave SW,47.53172144,-122.3468637, , , 
214,4277,NO,SW Portland St,Highland Park Way SW,47.53345249,-122.3470788, , , 
215,4278,NO,SW Othello St,Highland Park Way SW,47.5362682,-122.3471813, , , 
216,4279,NO,West Marginal Way S,Highland Park Way SW,47.54044744,-122.3417761, , , 
217,4280,NO,2nd Ave SW,Highland Park Way SW,47.53994312,-122.337676, , , 
218,4281,NO,East Marginal Way S,S Michigan St,47.5450327,-122.3309769, , , 
219,4310,NO,2nd Ave SW,Highland Park Way SW,47.53976929,-122.33749, , , 
220,4311,NO,West Marginal Way S,Highland Park Way SW,47.54020899,-122.3430392, , , 
221,4312,NO,West Marginal Way S,Highland Park Way SW,47.53985922,-122.3445325, , , 
222,4313,NO,SW Othello St,Highland Park Way SW,47.53850067,-122.3463544, , , 
223,4314,NO,SW Holden St,Highland Park Way SW,47.53362876,-122.3469101, , , 
224,4315,NO,SW Kenyon St,Highland Park Way SW,47.53217936,-122.3466772, , , 
225,4316,NO,SW Elmgrove St,9th Ave SW,47.5303568,-122.3466523, , , 
226,4317,NO,SW Thistle St,9th Ave SW,47.52853133,-122.3466406, , , 
227,4318,NO,SW Trenton St,9th Ave SW,47.52496714,-122.3466217, , , 
228,4334,NO,44th Ave S,S Othello St,47.53698188,-122.2775765, , , 
229,4335,NO,S Willow St,Swift Ave S,47.54064078,-122.3015984, , , 
230,4340,NO,S 103rd St,Des Moines Memorial Dr S,47.51107052,-122.3070247, , , 
231,4341,NO,S Holden St,5th Ave S,47.53402781,-122.3280172, , , 
232,4342,NO,17th Pl S,Des Moines Memorial Dr S,47.51298126,-122.3108071, , , 
233,4343,NO,2nd Ave S,S Holden St,47.53421835,-122.3312729, , , 
234,4344,NO,2nd Ave S,S Holden St,47.53407966,-122.3310566, , , 
235,4345,NO,SW Barton St,8th Ave SW,47.52072532,-122.3453249, , , 
236,4346,NO,SW 100th St,15th Ave SW,47.51416448,-122.353809, , , 
237,4347,NO,SW 104th St,15th Ave SW,47.51034165,-122.353691, , , 
238,4348,NO,SW 107th St,15th Ave SW,47.50777951,-122.3536456, , , 
239,4358,NO,S Bennett St,4th Ave S,47.55512826,-122.3294194, , , 
240,4359,NO,Corson Ave S,East Marginal Way S,47.54040025,-122.3233457, , , 
241,4360,NO,46th Ave S,S Othello St,47.53712333,-122.2756716, , , 
242,4364,NO,5th Ave S,S Holden St,47.53405931,-122.3283283, , , 
243,4365,NO,5th Ave S,S Kenyon St,47.53205324,-122.3277426, , , 
244,4366,NO,S Kenyon St,5th Ave S,47.53216963,-122.3282507, , , 
245,4367,NO,S 96th St,Des Moines Memorial Dr S,47.51623596,-122.314738, , , 
246,4368,NO,S Trenton St,14th Ave S,47.52450968,-122.3150292, , , 
247,4369,NO,S Kenyon St,8th Ave S,47.53163103,-122.3227127, , , 
248,4370,NO,S Southern St,8th Ave S,47.53006284,-122.3227392, , , 
249,4371,NO,S Thistle St,8th Ave S,47.5284055,-122.3227671, , , 
250,4372,NO,S Cloverdale St,8th Ave S,47.52674978,-122.3227947, , , 
251,4373,NO,S Thistle St,8th Ave S,47.52783138,-122.322979, , , 
252,4374,NO,S Southern St,8th Ave S,47.52951615,-122.3229508, , , 
253,4397,NO,E Cherry St,Martin L King Jr Way,47.60758992,-122.2962221, , , 
254,4398,NO,E Alder St,Martin L King Jr Way,47.6039837,-122.2968758, , , 
255,4399,NO,Ashworth Ave N,N 130th St,47.72313551,-122.3392027, , , 
256,4400,NO,Aurora Ave N,N 130th St,47.72330096,-122.3445174, , , 
257,4402,NO,S Trenton St,14th Ave S,47.52459858,-122.3148253, , , 
258,4403,NO,S Director St,14th Ave S,47.52256431,-122.3148597, , , 
259,4404,NO,S 96th St,Des Moines Memorial Dr S,47.51682894,-122.3150715, , , 
260,4405,NO,S 99th St,Des Moines Memorial Dr S,47.51510536,-122.3133979, , , 
261,4406,NO,17th Pl S,Des Moines Memorial Dr S,47.51315846,-122.3109577, , , 
262,4407,NO,S 103rd St,Des Moines Memorial Dr S,47.51146871,-122.3072883, , , 
263,4410,NO,SW 106th St,8th Ave SW,47.50907343,-122.344923, , , 
264,4411,NO,SW 104th St,8th Ave SW,47.50983577,-122.3447734, , , 
265,4431,NO,Spring St,9th Ave,47.60904315,-122.3278119, , , 
266,4432,NO,E Yesler Way,Boren Ave,47.60195317,-122.3179587, , , 
267,4433,NO,16th Ave S,Swift Ave S,47.54972932,-122.3125336, , , 
268,4453,NO,S Stevens St,ST Light Rail,47.57642963,-122.2977267, , , 
269,4473,NO,S Ryan St,51st Ave S,47.50968412,-122.2701534, , , 
270,4474,NO,S Bond St,51st Ave S,47.51407356,-122.2701244, , , 
271,4475,NO,S Roxbury St,51st Ave S,47.51668209,-122.2701119, , , 
272,4476,NO,S Fletcher St,51st Ave S,47.51878644,-122.2700855, , , 
273,4477,NO,54th Ave S,Renton Ave S,47.51432121,-122.2656033, , , 
274,4478,NO,S Norfolk St,Renton Ave S,47.51330926,-122.2640666, , , 
275,4480,NO,S Victor St,Renton Ave S,47.51085559,-122.2603549, , , 
276,4481,NO,S Prentice St,Renton Ave S,47.50819729,-122.2563761, , , 
277,4482,NO,S Bangor St,Renton Ave S,47.50649891,-122.2545538, , , 
278,4483,NO,S Hazel St,Renton Ave S,47.5053883,-122.2533526, , , 
279,4510,NO,57th Ave S,Renton Ave S,47.51209757,-122.2622386, , , 
280,4667,NO,Corwin Pl S,S Dearborn St,47.59574161,-122.3142833, , , 
281,4701,NO,Corwin Pl S,S Dearborn St,47.59587905,-122.3138587, , , 
282,4702,NO,S Stevens St,ST Light Rail,47.57698499,-122.2978495, , , 
283,4703,NO,S Walden St,Martin L King Jr Way S,47.57232316,-122.2966063, , , 
284,4704,NO,S Andover St,Martin L King Jr Way S,47.56822059,-122.2966579, , , 
285,4705,NO,S Dakota St,Martin L King Jr Way S,47.56662946,-122.2966667, , , 
286,4724,NO,S Hazel St,Renton Ave S,47.50497479,-122.253156, , , 
287,4725,NO,S Prentice St,Renton Ave S,47.50814311,-122.2565681, , , 
288,4726,NO,S Ryan St,Renton Ave S,47.50947221,-122.2585432, , , 
289,4727,NO,Victor St,Renton Ave S,47.51073618,-122.2604638, , , 
290,4728,NO,57th Ave S,Renton Ave S,47.51195166,-122.2623078, , , 
291,4729,NO,55th Ave S,Renton Ave S,47.51341369,-122.264515, , , 
292,4730,NO,54th Ave S,Renton Ave S,47.51407723,-122.2655241, , , 
293,4731,NO,52nd Ave S,Renton Ave S,47.51538158,-122.2675088, , , 
294,4732,NO,S Roxbury St,Renton Ave S,47.51656688,-122.2693127, , , 
295,4733,NO,S Columbian Way,Martin L King Jr Way S,47.56332815,-122.294701, , , 
296,4734,NO,S Alaska St,Martin L King Jr Way S,47.56113961,-122.2932548, , , 
297,4735,NO,S Alaska St,ST Light Rail,47.56026974,-122.2928768, , , 
298,4736,NO,S Edmunds St,Martin L King Jr Way S,47.5588711,-122.2918554, , , 
299,4737,NO,S Dawson St,Martin L King Jr Way S,47.55523171,-122.2897353, , , 
300,4757,NO,S Henderson St,ST Light Rail,47.52225811,-122.2795733, , , 
301,4758,NO,S Orcas St,Martin L King Jr Way S,47.55149363,-122.2879269, , , 
302,4759,NO,37th Ave S,Martin L King Jr Way S,47.54838984,-122.2864668, , , 
303,4760,NO,S Graham St,Martin L King Jr Way S,47.54633836,-122.2854454, , , 
304,4761,NO,S Holly St,Martin L King Jr Way S,47.54285912,-122.283749, , , 
305,4781,NO,S Webster St,Renton Ave S,47.53486143,-122.2802741, , , 
306,4782,NO,S Kenyon St,Martin L King Jr Way S,47.53127938,-122.280878, , , 
307,4783,NO,S Webster St,Martin L King Jr Way S,47.53511205,-122.2809793, , , 
308,4784,NO,S Othello St,Martin L King Jr Way S,47.53682781,-122.2812748, , , 
309,4785,NO,S Othello St,ST Light Rail,47.53752874,-122.2814556, , , 
310,4786,NO,S Myrtle St,Martin L King Jr Way S,47.53856233,-122.2821259, , , 
311,4787,NO,S Myrtle St,Martin L King Jr Way S,47.5392132,-122.2818776, , , 
312,4788,NO,S Myrtle St,ST Light Rail,47.53847891,-122.2816632, , , 
313,4789,NO,S Othello St,Martin L King Jr Way S,47.53734333,-122.2809435, , , 
314,4790,NO,S Kenyon St,Martin L King Jr Way S,47.53180342,-122.2804512, , , 
315,4811,NO,S Holly St,Martin L King Jr Way S,47.54219672,-122.2839267, , , 
316,4812,NO,S Graham St,Martin L King Jr Way S,47.54576337,-122.2856566, , , 
317,4813,NO,S Raymond St,Martin L King Jr Way S,47.5480402,-122.2867261, , , 
318,4814,NO,S Orcas St,Martin L King Jr Way S,47.55095695,-122.2881736, , , 
319,4815,NO,S Thistle St,Martin L King Jr Way S,47.52813362,-122.2799781, , , 
320,4816,NO,S Henderson St,Martin L King Jr Way S,47.523653,-122.2787806, , , 
321,4817,NO,S Henderson St,ST Light Rail,47.52294264,-122.2790657, , , 
322,4839,NO,S Dawson St,Martin L King Jr Way S,47.5549352,-122.2900571, , , 
323,4840,NO,S Edmunds St,Martin L King Jr Way S,47.55841974,-122.2921197, , , 
324,4841,NO,S Edmunds St,ST Light Rail,47.55894945,-122.2923313, , , 
325,4842,NO,S Alaska St,Martin L King Jr Way S,47.5603955,-122.2933878, , , 
326,4843,NO,S Columbian Way,Martin L King Jr Way S,47.56241143,-122.2946352, , , 
327,4844,NO,S Fletcher St,51st Ave S,47.51894971,-122.269881, , , 
328,4845,NO,S Bond St,51st Ave S,47.51418393,-122.2699229, , , 
329,4846,NO,S Gazelle St,51st Ave S,47.51245644,-122.2699334, , , 
330,4867,NO,S Dakota St,Martin L King Jr Way S,47.56598465,-122.2968774, , , 
331,4868,NO,S Andover St,Martin L King Jr Way S,47.56789425,-122.297089, , , 
332,4869,NO,S Walden St,Martin L King Jr Way S,47.57156967,-122.2970513, , , 
333,4870,NO,S Winthrop St,Martin L King Jr Way S,47.57578511,-122.2968127, , , 
334,4871,NO,S Ryan St,51st Ave S,47.50980743,-122.2699503, , , 
335,4891,NO,NE 75th St,15th Ave NE,47.68257626,-122.3119745, , , 
336,4892,NO,NE 86th St,Ravenna Ave NE,47.69124808,-122.3021512, , , 
337,4893,NO,NE 92nd St,Ravenna Ave NE,47.69527556,-122.3052596, , , 
338,4894,NO,NE Ravenna Blvd,University Way NE,47.6708705,-122.3129164, , , 
339,4895,NO,NE 55th St,University Way NE,47.66875882,-122.3129029, , , 
340,4896,NO,NE 50th St,University Way NE,47.66518221,-122.3129535, , , 
341,4897,NO,44th Ave SW,SW Oregon St,47.56300967,-122.3878973, , , 
342,4898,NO,California Ave SW,SW Seattle St,47.58939017,-122.3866186, , , 
